"#starttime";"#endtime";"Speech";"sentimentAnnotations"
0.000;1.750;"Bien mal, porque para empezar es negro.";"-1"
1.750;4.760;"Como te vas a poner esto en cejas y como te vas a poner esto en en labios.";"-1"
4.760;7.483;"O sea, las etiquetas super genericas ¿no? Para todos.";"-1"
7.483;9.440;"Y es una cosa horri:ble. ";"-1"
9.440;11.854;"Es asi, como marcador. //";"0"
11.854;14.338;"¿ok? y tenia mucha tentacion de probar uno asi.";"1"
14.338;16.000;"Pero como dicen, lo barato sale caro.";"-1"
16.000;21.959;"Yo lo compre en un puesto afuera de un centro comercial. ¿ok? De esos donde venden maquillaje asi economico.";"0"
21.959;25.893;"Es:te, costo como treinta pesos. //";"0"
25.893;31.068;"Pero me lo puse. // Mm, ahi esta. Y luego me-";"0"
